Path,Label
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa10.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa11.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa12.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa13.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa14.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa15.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa16.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa17.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa18.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa19.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa2.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa20.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa21.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa22.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa23.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa24.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa25.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa26.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa27.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa28.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa29.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa3.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa30.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa31.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa32.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa33.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa34.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa35.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa36.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa37.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa38.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa39.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa4.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa40.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa41.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa42.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa43.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa44.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa45.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa46.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa47.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa48.jpg,Alfalfa
C:\Users\gverzea\Desktop\edible wild plants dataset\Alfalfa\Alfalfa49.jpg,Alfalfa
